MONTH,DAYMON,DAYWEEK,  CUST,SPECIAL,SP,FAC,BH,AH
1,2,2,1825,"SP,FAC,AH",1,1,0,1
1,3,3,1257,0,0,0,0,0
1,4,4,969,0,0,0,0,0
1,5,5,1672,SP,1,0,0,0
1,8,1,1098,0,0,0,0,0
1,9,2,691,0,0,0,0,0
1,10,3,672,0,0,0,0,0
1,11,4,754,0,0,0,0,0
1,12,5,972,0,0,0,0,0
1,15,1,816,0,0,0,0,0
1,16,2,717,0,0,0,0,0
1,17,3,728,0,0,0,0,0
1,18,4,711,0,0,0,0,0
1,19,5,1545,SP,1,0,0,0
1,22,1,873,0,0,0,0,0
1,23,2,713,0,0,0,0,0
1,24,3,626,0,0,0,0,0
1,25,4,653,0,0,0,0,0
1,26,5,1080,0,0,0,0,0
1,29,1,650,0,0,0,0,0
1,30,2,644,0,0,0,0,0
1,31,3,803,0,0,0,0,0
2,1,4,1282,FAC,0,1,0,0
2,2,5,2043,SP,1,0,0,0
2,5,1,1146,0,0,0,0,0
2,6,2,740,0,0,0,0,0
2,7,3,698,0,0,0,0,0
2,8,4,695,0,0,0,0,0
2,9,5,1159,0,0,0,0,0
2,12,1,881,0,0,0,0,0
2,13,2,768,0,0,0,0,0
2,14,3,654,0,0,0,0,0
2,15,4,858,0,0,0,0,0
2,16,5,1647,SP,1,0,0,0
2,19,1,773,0,0,0,0,0
2,20,2,755,0,0,0,0,0
2,21,3,788,0,0,0,0,0
2,22,4,702,0,0,0,0,0
2,23,5,1037,0,0,0,0,0
2,26,1,931,0,0,0,0,0
2,27,2,719,0,0,0,0,0
2,28,3,811,0,0,0,0,0
3,1,4,1383,FAC,0,1,0,0
3,2,5,2022,SP,1,0,0,0
3,5,1,1130,0,0,0,0,0
3,6,2,798,0,0,0,0,0
3,7,3,885,0,0,0,0,0
3,8,4,983,0,0,0,0,0
3,9,5,1439,0,0,0,0,0
3,12,1,973,0,0,0,0,0
3,13,2,725,0,0,0,0,0
3,14,3,681,0,0,0,0,0
3,15,4,840,0,0,0,0,0
3,16,5,1491,SP,1,0,0,0
3,19,1,1050,0,0,0,0,0
3,20,2,779,0,0,0,0,0
3,21,3,686,0,0,0,0,0
3,22,4,663,0,0,0,0,0
3,23,5,1059,0,0,0,0,0
3,26,1,1005,0,0,0,0,0
3,27,2,704,0,0,0,0,0
3,28,3,732,0,0,0,0,0
3,29,4,738,0,0,0,0,0
3,30,5,1867,"SP,FAC",1,1,0,0
4,2,1,1486,0,0,0,0,0
4,3,2,1155,0,0,0,0,0
4,4,3,871,0,0,0,0,0
4,5,4,832,0,0,0,0,0
4,6,5,1101,0,0,0,0,0
4,9,1,929,0,0,0,0,0
4,10,2,672,0,0,0,0,0
4,11,3,751,0,0,0,0,0
4,12,4,1114,0,0,0,0,0
4,13,5,1612,Sp,1,0,0,0
4,16,1,1267,0,0,0,0,0
4,17,2,825,0,0,0,0,0
4,18,3,729,0,0,0,0,0
4,19,4,836,0,0,0,0,0
4,20,5,1123,0,0,0,0,0
4,23,1,900,0,0,0,0,0
4,24,2,702,0,0,0,0,0
4,25,3,724,0,0,0,0,0
4,26,4,824,0,0,0,0,0
4,27,5,1682,SP,1,0,0,0
4,30,1,1146,0,0,0,0,0
5,1,2,1488,FAC,0,1,0,0
5,2,3,1121,0,0,0,0,0
5,3,4,1147,0,0,0,0,0
5,4,5,1455,0,0,0,0,0
5,7,1,1330,0,0,0,0,0
5,8,2,819,0,0,0,0,0
5,9,3,743,0,0,0,0,0
5,10,4,921,0,0,0,0,0
5,11,5,1731,SP FAC,1,1,0,0
5,14,1,1118,0,0,0,0,0
5,15,2,1064,0,0,0,0,0
5,16,3,869,0,0,0,0,0
5,17,4,844,0,0,0,0,0
5,18,5,1251,0,0,0,0,0
5,21,1,1187,0,0,0,0,0
5,22,2,785,0,0,0,0,0
5,23,3,705,0,0,0,0,0
5,24,4,890,0,0,0,0,0
5,25,5,1754,BH,0,0,1,0
